High Level Category,Subcategory,Scenario,Nonconflict_scenario,Nonconflict_scenario_2
Autonomy,"Dreams, goals, values","One person dismisses or mocks the other's long-term aspirations, suggesting they are unrealistic or unimportant.",One person shares their long-term aspirations with the other person.,One person shares their long-term aspirations with the other person.
Autonomy,Plan for fulfilling dreams/goals/values,"Someone tries to offer 'helpful' advice by steering the other person toward a path they didn’t choose, assuming they know what’s best.",Someone outlines a practical step they’re taking this year to move closer to their goals.,Someone outlines a practical step they’re taking this year to move closer to their goals.
Celebration,Life and dreams fulfilled,"After someone shares a personal achievement, the other person downplays it or changes the subject, making them feel unseen.",One person reflects on how they feel satisfied with where they’ve ended up in life.,One person reflects on how they feel satisfied with where they’ve ended up in life.
Celebration,Losses (mourning),"One person expresses grief over a recent loss, and the other responds with discomfort or insists they 'move on already.'",Someone opens up about missing a person or time in their life that’s no longer present.,Someone opens up about missing a person or time in their life that’s no longer present.
Integrity,Authenticity,"Someone begins expressing a new part of themselves, and the other person reacts with skepticism or avoidance.",One person admits they’ve been pretending to be okay but want to be more honest about who they are.,One person admits they’ve been pretending to be okay but want to be more honest.
Integrity,Creativity,"One person shares something they made, and the other critiques it harshly without being asked, discouraging further expression.",Someone shows the other a project they’ve been working on just for the joy of creating it.,Someone shows the other a project they’ve been working.
Integrity,Meaning,"Someone talks about an experience that gave them a sense of purpose, and the other person trivializes it as 'not a big deal.'",One person questions what really matters to them and invites the other to reflect with them.,One person questions what really matters to them and invites the other to reflect with them.
Integrity,Self-worth,"One person made a joke at the other’s expense in public, leading to embarrassment and hurt, even after being asked to stop.",Someone doubts their value and the other reminds them of the impact they’ve had.,Someone shares doubts about their value to the other person.
Interdependence,Acceptance,"Someone discloses a personal truth, and the other responds with 'I just don’t agree with that,' rather than listening with openness.",One person reveals a fear of not being fully accepted and the other responds with openness.,One person reveals a fear of not being fully accepted.
Interdependence,Appreciation,"A person offers help or emotional labor, but the other doesn’t acknowledge it or express gratitude.",Someone sincerely thanks the other for something they did that made them feel seen.,Someone talks about how much they appreciate someone else in their life.
